sex,year,label,estimate,SE,LCI,UCI
F,13_14,Phi,0.56417,0.1033125,0.3622916,0.7468039
F,14_15,Phi,0.3925184,0.0750923,0.2584608,0.5450048
F,15_16,Phi,0.9732998,0.10927,0.0095154,0.9999928
F,16_17,Phi,0.511151,228.7139846,0,1
M,13_14,Phi,0.5701735,0.1018951,0.3699689,0.7497854
M,14_15,Phi,0.4084312,0.0888738,0.2513538,0.5867379
M,15_16,Phi,0.9789874,0.0863945,0.0122461,0.9999943
M,16_17,Phi,0.5568639,231.9920618,0,1
F,13_14,p,0.5163632,0.1006033,0.326491,0.7016258
F,14_15,p,0.40313,0.0816235,0.2578209,0.567693
F,15_16,p,0.1797611,0.0494877,0.1019445,0.297312
F,16_17,p,0.5476419,231.5809304,0,1
M,13_14,p,0.5163632,0.1006033,0.326491,0.7016258
M,14_15,p,0.40313,0.0816235,0.2578209,0.567693
M,15_16,p,0.1797611,0.0494877,0.1019445,0.297312
M,16_17,p,0.5476419,231.5809304,0,1
